RESPONSE | 2026-05-27 16:16:14 | admin | URL=/tables/favorites | 200 
REQUEST | 2026-05-27 16:16:15 | admin | URL=/tables/ | GET 
RESPONSE | 2026-05-27 16:16:15 | admin | URL=/tables/ | 200 
REQUEST | 2026-05-27 16:16:16 | admin | URL=/reservation/list_booked_tables | GET 
RESPONSE | 2026-05-27 16:16:16 | admin | URL=/reservation/list_booked_tables | 200 
REQUEST | 2026-05-27 16:16:17 | admin | URL=/tables/ | GET 
RESPONSE | 2026-05-27 16:16:17 | admin | URL=/tables/ | 200 
REQUEST | 2026-05-27 16:16:20 | admin | URL=/tables/?page=834 | GET 
RESPONSE | 2026-05-27 16:16:21 | admin | URL=/tables/?page=834 | 200 
REQUEST | 2026-05-27 16:16:22 | admin | URL=/reservation/book_a_table/9999 | GET 
RESPONSE | 2026-05-27 16:16:22 | admin | URL=/reservation/book_a_table/9999 | 200 
REQUEST | 2026-05-27 16:16:29 | admin | URL=/reservation/book_a_table/9999 | POST 
RESPONSE | 2026-05-27 16:16:29 | admin | URL=/reservation/book_a_table/9999 | 200 
REQUEST | 2026-05-27 16:16:36 | admin | URL=/reservation/book_a_table/9999 | POST 
RESPONSE | 2026-05-27 16:16:36 | admin | URL=/reservation/book_a_table/9999 | 302 
REQUEST | 2026-05-27 16:16:36 | admin | URL=/reservation/list_booked_tables | GET 
RESPONSE | 2026-05-27 16:16:36 | admin | URL=/reservation/list_booked_tables | 200 
REQUEST | 2026-05-27 16:17:13 | admin | URL=/reservation/list_booked_tables/delete/462 | POST 
RESPONSE | 2026-05-27 16:17:14 | admin | URL=/reservation/list_booked_tables/delete/462 | 302 
REQUEST | 2026-05-27 16:17:14 | admin | URL=/reservation/list_booked_tables | GET 
RESPONSE | 2026-05-27 16:17:14 | admin | URL=/reservation/list_booked_tables | 200 
REQUEST | 2026-05-27 16:17:15 | admin | URL=/reservation/list_booked_tables/delete/1179 | POST 
RESPONSE | 2026-05-27 16:17:16 | admin | URL=/reservation/list_booked_tables/delete/1179 | 302 
REQUEST | 2026-05-27 16:17:16 | admin | URL=/reservation/list_booked_tables | GET 
RESPONSE | 2026-05-27 16:17:16 | admin | URL=/reservation/list_booked_tables | 200 
REQUEST | 2026-05-27 16:17:18 | admin | URL=/__debug__/render_panel/?request_id=1caf77532a354b138cdbd475be172bc0&panel_id=SQLPanel | GET 
RESPONSE | 2026-05-27 16:17:19 | admin | URL=/__debug__/render_panel/?request_id=1caf77532a354b138cdbd475be172bc0&panel_id=SQLPanel | 200 
REQUEST | 2026-05-27 16:29:31 | admin | URL=/reservation/list_booked_tables | GET 
RESPONSE | 2026-05-27 16:29:31 | admin | URL=/reservation/list_booked_tables | 200 
REQUEST | 2026-05-27 16:29:33 | admin | URL=/tables/ | GET 
RESPONSE | 2026-05-27 16:29:33 | admin | URL=/tables/ | 200 
REQUEST | 2026-05-27 16:29:36 | admin | URL=/reservation/book_a_table/43 | GET 
RESPONSE | 2026-05-27 16:29:36 | admin | URL=/reservation/book_a_table/43 | 200 
REQUEST | 2026-05-27 16:30:26 | admin | URL=/reservation/book_a_table/43 | POST 
RESPONSE | 2026-05-27 16:30:26 | admin | URL=/reservation/book_a_table/43 | 200 
REQUEST | 2026-05-27 16:30:35 | admin | URL=/reservation/book_a_table/43 | POST 
RESPONSE | 2026-05-27 16:30:35 | admin | URL=/reservation/book_a_table/43 | 302 
REQUEST | 2026-05-27 16:30:35 | admin | URL=/reservation/list_booked_tables | GET 
RESPONSE | 2026-05-27 16:30:35 | admin | URL=/reservation/list_booked_tables | 200 
REQUEST | 2026-05-27 16:30:57 | admin | URL=/ | GET 
RESPONSE | 2026-05-27 16:30:57 | admin | URL=/ | 200 
REQUEST | 2026-05-27 16:31:19 | admin | URL=/tables/favorites | GET 
RESPONSE | 2026-05-27 16:31:19 | admin | URL=/tables/favorites | 200 
REQUEST | 2026-05-27 16:31:24 | admin | URL=/reservation/list_booked_tables | GET 
RESPONSE | 2026-05-27 16:31:24 | admin | URL=/reservation/list_booked_tables | 200 
REQUEST | 2026-05-27 16:31:26 | admin | URL=/tables/ | GET 
RESPONSE | 2026-05-27 16:31:26 | admin | URL=/tables/ | 200 
REQUEST | 2026-05-27 16:31:28 | admin | URL=/reservation/book_a_table/7 | GET 
RESPONSE | 2026-05-27 16:31:28 | admin | URL=/reservation/book_a_table/7 | 200 
REQUEST | 2026-05-27 16:31:38 | admin | URL=/reservation/book_a_table/7 | POST 
RESPONSE | 2026-05-27 16:31:38 | admin | URL=/reservation/book_a_table/7 | 302 
REQUEST | 2026-05-27 16:32:15 | admin | URL=/reservation/book_a_table/7 | POST 
RESPONSE | 2026-05-27 16:32:15 | admin | URL=/reservation/book_a_table/7 | 200 
REQUEST | 2026-05-27 16:32:22 | admin | URL=/reservation/book_a_table/7 | POST 
RESPONSE | 2026-05-27 16:32:22 | admin | URL=/reservation/book_a_table/7 | 302 
REQUEST | 2026-05-27 16:32:22 | admin | URL=/reservation/list_booked_tables | GET 
RESPONSE | 2026-05-27 16:32:22 | admin | URL=/reservation/list_booked_tables | 200 
REQUEST | 2026-05-27 16:34:39 | admin | URL=/tables/ | GET 
RESPONSE | 2026-05-27 16:34:40 | admin | URL=/tables/ | 200 
REQUEST | 2026-05-27 16:34:42 | admin | URL=/reservation/book_a_table/42 | GET 
RESPONSE | 2026-05-27 16:34:43 | admin | URL=/reservation/book_a_table/42 | 200 
REQUEST | 2026-05-27 16:34:51 | admin | URL=/reservation/book_a_table/42 | POST 
RESPONSE | 2026-05-27 16:34:51 | admin | URL=/reservation/book_a_table/42 | 302 
REQUEST | 2026-05-27 16:37:30 | admin | URL=/reservation/book_a_table/42 | POST 
RESPONSE | 2026-05-27 16:37:31 | admin | URL=/reservation/book_a_table/42 | 302 
REQUEST | 2026-05-27 16:37:31 | admin | URL=/reservation/list_booked_tables | GET 
RESPONSE | 2026-05-27 16:37:32 | admin | URL=/reservation/list_booked_tables | 200 
REQUEST | 2026-05-27 16:37:39 | admin | URL=/ | GET 
RESPONSE | 2026-05-27 16:37:39 | admin | URL=/ | 200 
REQUEST | 2026-05-27 16:38:49 | admin | URL=/reservation/list_booked_tables | GET 
RESPONSE | 2026-05-27 16:38:50 | admin | URL=/reservation/list_booked_tables | 200 
REQUEST | 2026-05-27 16:39:58 | admin | URL=/reservation/list_booked_tables | GET 
RESPONSE | 2026-05-27 16:39:59 | admin | URL=/reservation/list_booked_tables | 200 
REQUEST | 2026-05-27 16:40:00 | admin | URL=/tables/ | GET 
RESPONSE | 2026-05-27 16:40:00 | admin | URL=/tables/ | 200 
REQUEST | 2026-05-27 16:40:02 | admin | URL=/reservation/book_a_table/42 | GET 
RESPONSE | 2026-05-27 16:40:02 | admin | URL=/reservation/book_a_table/42 | 200 
REQUEST | 2026-05-27 16:40:17 | admin | URL=/reservation/book_a_table/42 | POST 
RESPONSE | 2026-05-27 16:40:17 | admin | URL=/reservation/book_a_table/42 | 200 
REQUEST | 2026-05-27 16:40:23 | admin | URL=/reservation/book_a_table/42 | POST 
RESPONSE | 2026-05-27 16:40:23 | admin | URL=/reservation/book_a_table/42 | 302 
REQUEST | 2026-05-27 16:40:24 | admin | URL=/reservation/list_booked_tables | GET 
RESPONSE | 2026-05-27 16:40:24 | admin | URL=/reservation/list_booked_tables | 200 
REQUEST | 2026-05-27 16:40:27 | admin | URL=/ | GET 
RESPONSE | 2026-05-27 16:40:27 | admin | URL=/ | 200 
REQUEST | 2026-05-27 16:41:11 | admin | URL=/tables/ | GET 
RESPONSE | 2026-05-27 16:41:11 | admin | URL=/tables/ | 200 
REQUEST | 2026-05-27 16:41:18 | admin | URL=/reservation/book_a_table/43 | GET 
RESPONSE | 2026-05-27 16:41:18 | admin | URL=/reservation/book_a_table/43 | 200 
REQUEST | 2026-05-27 16:41:27 | admin | URL=/reservation/book_a_table/43 | POST 
RESPONSE | 2026-05-27 16:41:28 | admin | URL=/reservation/book_a_table/43 | 302 
REQUEST | 2026-05-27 16:41:28 | admin | URL=/reservation/list_booked_tables | GET 
RESPONSE | 2026-05-27 16:41:28 | admin | URL=/reservation/list_booked_tables | 200 
REQUEST | 2026-05-27 16:41:29 | admin | URL=/ | GET 
RESPONSE | 2026-05-27 16:41:29 | admin | URL=/ | 200 
REQUEST | 2026-05-27 16:42:03 | admin | URL=/tables/ | GET 
RESPONSE | 2026-05-27 16:42:04 | admin | URL=/tables/ | 200 
REQUEST | 2026-05-27 16:42:06 | admin | URL=/reservation/book_a_table/42 | GET 
RESPONSE | 2026-05-27 16:42:07 | admin | URL=/reservation/book_a_table/42 | 200 
REQUEST | 2026-05-27 16:42:18 | admin | URL=/reservation/book_a_table/42 | POST 
RESPONSE | 2026-05-27 16:42:18 | admin | URL=/reservation/book_a_table/42 | 200 
REQUEST | 2026-05-27 16:42:26 | admin | URL=/reservation/book_a_table/42 | POST 
RESPONSE | 2026-05-27 16:42:26 | admin | URL=/reservation/book_a_table/42 | 200 
REQUEST | 2026-05-27 16:42:40 | admin | URL=/reservation/book_a_table/42 | POST 
RESPONSE | 2026-05-27 16:42:41 | admin | URL=/reservation/book_a_table/42 | 302 
REQUEST | 2026-05-27 16:42:41 | admin | URL=/reservation/list_booked_tables | GET 
RESPONSE | 2026-05-27 16:42:41 | admin | URL=/reservation/list_booked_tables | 200 
REQUEST | 2026-05-27 16:42:43 | admin | URL=/ | GET 
RESPONSE | 2026-05-27 16:42:43 | admin | URL=/ | 200 
REQUEST | 2026-05-27 16:42:50 | admin | URL=/reservation/list_booked_tables | GET 
RESPONSE | 2026-05-27 16:42:51 | admin | URL=/reservation/list_booked_tables | 200 
REQUEST | 2026-05-27 16:42:52 | admin | URL=/tables/favorites | GET 
RESPONSE | 2026-05-27 16:42:52 | admin | URL=/tables/favorites | 200 
REQUEST | 2026-05-27 16:42:55 | admin | URL=/tables/favorites?page=2 | GET 
RESPONSE | 2026-05-27 16:42:55 | admin | URL=/tables/favorites?page=2 | 200 
REQUEST | 2026-05-27 16:42:56 | admin | URL=/reservation/book_a_table/5 | GET 
RESPONSE | 2026-05-27 16:42:56 | admin | URL=/reservation/book_a_table/5 | 200 
REQUEST | 2026-05-27 16:43:08 | admin | URL=/reservation/book_a_table/5 | POST 
RESPONSE | 2026-05-27 16:43:08 | admin | URL=/reservation/book_a_table/5 | 302 
REQUEST | 2026-05-27 16:43:08 | admin | URL=/reservation/list_booked_tables | GET 
RESPONSE | 2026-05-27 16:43:09 | admin | URL=/reservation/list_booked_tables | 200 
REQUEST | 2026-05-27 16:43:11 | admin | URL=/ | GET 
RESPONSE | 2026-05-27 16:43:11 | admin | URL=/ | 200 
REQUEST | 2026-05-27 16:43:17 | admin | URL=/reservation/list_booked_tables | GET 
RESPONSE | 2026-05-27 16:43:17 | admin | URL=/reservation/list_booked_tables | 200 
REQUEST | 2026-05-27 16:43:20 | admin | URL=/tables/favorites | GET 
RESPONSE | 2026-05-27 16:43:20 | admin | URL=/tables/favorites | 200 
REQUEST | 2026-05-27 16:43:21 | admin | URL=/reservation/book_a_table/39 | GET 
RESPONSE | 2026-05-27 16:43:21 | admin | URL=/reservation/book_a_table/39 | 200 
REQUEST | 2026-05-27 16:43:35 | admin | URL=/reservation/book_a_table/39 | POST 
RESPONSE | 2026-05-27 16:43:35 | admin | URL=/reservation/book_a_table/39 | 302 
REQUEST | 2026-05-27 16:43:35 | admin | URL=/reservation/list_booked_tables | GET 
RESPONSE | 2026-05-27 16:43:35 | admin | URL=/reservation/list_booked_tables | 200 
REQUEST | 2026-05-27 16:43:37 | admin | URL=/ | GET 
RESPONSE | 2026-05-27 16:43:37 | admin | URL=/ | 200 
REQUEST | 2026-05-27 16:44:52 | admin | URL=/tables/favorites | GET 
RESPONSE | 2026-05-27 16:44:52 | admin | URL=/tables/favorites | 200 
REQUEST | 2026-05-27 16:44:53 | admin | URL=/reservation/list_booked_tables | GET 
RESPONSE | 2026-05-27 16:44:53 | admin | URL=/reservation/list_booked_tables | 200 
REQUEST | 2026-05-27 16:44:53 | admin | URL=/tables/ | GET 
RESPONSE | 2026-05-27 16:44:53 | admin | URL=/tables/ | 200 
REQUEST | 2026-05-27 16:44:55 | admin | URL=/reservation/book_a_table/7 | GET 
RESPONSE | 2026-05-27 16:44:55 | admin | URL=/reservation/book_a_table/7 | 200 
REQUEST | 2026-05-27 16:44:59 | admin | URL=/reservation/book_a_table/109876543 | GET 
RESPONSE | 2026-05-27 16:44:59 | admin | URL=/reservation/book_a_table/109876543 | 200 
REQUEST | 2026-05-27 16:45:04 | admin | URL=/reservation/book_a_table/12345678909876543234567 | GET 
RESPONSE | 2026-05-27 16:45:05 | admin | URL=/reservation/book_a_table/12345678909876543234567 | 200 
REQUEST | 2026-05-27 16:45:12 | admin | URL=/reservation/book_a_table/12345678909876543234567 | POST 
RESPONSE | 2026-05-27 16:45:12 | admin | URL=/reservation/book_a_table/12345678909876543234567 | 200 
REQUEST | 2026-05-27 16:45:18 | admin | URL=/reservation/book_a_table/12345678909876543234567 | POST 
RESPONSE | 2026-05-27 16:45:18 | admin | URL=/reservation/book_a_table/12345678909876543234567 | 200 
REQUEST | 2026-05-27 16:45:21 | admin | URL=/reservation/book_a_table/12345678909876543234567 | POST 
RESPONSE | 2026-05-27 16:45:21 | admin | URL=/reservation/book_a_table/12345678909876543234567 | 200 
REQUEST | 2026-05-27 16:45:31 | admin | URL=/reservation/book_a_table/673980-434012-4302-9834781347391204yewjiodbgf | GET 
RESPONSE | 2026-05-27 16:45:31 | admin | URL=/reservation/book_a_table/673980-434012-4302-9834781347391204yewjiodbgf | 404 
REQUEST | 2026-05-27 17:34:24 | admin | URL=/ | GET 
RESPONSE | 2026-05-27 17:34:25 | admin | URL=/ | 200 
REQUEST | 2026-05-27 17:34:26 | admin | URL=/auth/resetPassword | GET 
RESPONSE | 2026-05-27 17:34:26 | admin | URL=/auth/resetPassword | 200 
REQUEST | 2026-05-27 17:35:34 | admin | URL=/auth/resetPassword | GET 
RESPONSE | 2026-05-27 17:35:34 | admin | URL=/auth/resetPassword | 200 
REQUEST | 2026-05-27 17:35:54 | admin | URL=/auth/resetPassword | POST 
RESPONSE | 2026-05-27 17:35:55 | admin | URL=/auth/resetPassword | 500 
REQUEST | 2026-05-27 17:37:00 | admin | URL=/auth/resetPassword | POST 
RESPONSE | 2026-05-27 17:37:00 | admin | URL=/auth/resetPassword | 500 
REQUEST | 2026-05-27 17:42:20 | admin | URL=/auth/resetPassword | POST 
RESPONSE | 2026-05-27 17:42:22 | admin | URL=/auth/resetPassword | 200 
REQUEST | 2026-05-27 17:47:48 | admin | URL=/auth/resetPassword | POST 
RESPONSE | 2026-05-27 17:47:49 | admin | URL=/auth/resetPassword | 200 
REQUEST | 2026-05-27 18:14:57 | admin | URL=/auth/resetPassword | POST 
RESPONSE | 2026-05-27 18:14:59 | admin | URL=/auth/resetPassword | 500 
REQUEST | 2026-05-27 18:15:23 | admin | URL=/auth/resetPassword | POST 
RESPONSE | 2026-05-27 18:15:32 | admin | URL=/auth/resetPassword | 200 
REQUEST | 2026-05-27 18:16:14 | admin | URL=/ | GET 
RESPONSE | 2026-05-27 18:16:14 | admin | URL=/ | 200 
REQUEST | 2026-05-27 18:16:17 | admin | URL=/auth/resetPassword | GET 
RESPONSE | 2026-05-27 18:16:17 | admin | URL=/auth/resetPassword | 200 
REQUEST | 2026-05-27 18:16:24 | admin | URL=/auth/resetPassword | POST 
RESPONSE | 2026-05-27 18:16:29 | admin | URL=/auth/resetPassword | 200 
REQUEST | 2026-05-27 18:16:39 | admin | URL=/auth/reset-password/1a568198-c21e-4809-a1fe-9be182115063 | GET 
RESPONSE | 2026-05-27 18:16:39 | admin | URL=/auth/reset-password/1a568198-c21e-4809-a1fe-9be182115063 | 404 
REQUEST | 2026-05-27 18:19:06 | admin | URL=/ | GET 
RESPONSE | 2026-05-27 18:19:07 | admin | URL=/ | 200 
REQUEST | 2026-05-27 18:19:09 | admin | URL=/auth/password-reset-request | GET 
RESPONSE | 2026-05-27 18:19:09 | admin | URL=/auth/password-reset-request | 200 
REQUEST | 2026-05-27 18:19:19 | admin | URL=/auth/password-reset-request | POST 
RESPONSE | 2026-05-27 18:19:26 | admin | URL=/auth/password-reset-request | 200 
REQUEST | 2026-05-27 18:23:20 | admin | URL=/auth/logout/ | POST 
RESPONSE | 2026-05-27 18:23:21 | admin | URL=/auth/logout/ | 302 
REQUEST | 2026-05-27 18:23:21 | AnonymousUser | URL=/ | GET 
RESPONSE | 2026-05-27 18:23:21 | AnonymousUser | URL=/ | 200 
